origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0229,5439079922,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0230,5439079942,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0231,5439170344,2,2,1.0,2,2,1.0,4,4,1.0,0.5,0.5,0.0
origin_0232,5439170431,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0233,5439170432,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0234,5439170433,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0235,5439170512,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.5,0.0
origin_0236,5439170521,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0238,5439170532,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0239,5439170541,0,0,,1,1,1.0,1,1,1.0,1.0,1.0,
origin_0240,5439170714,0,0,,1,1,1.0,1,1,1.0,1.0,1.0,
origin_0241,5439170724,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0242,5439170734,4,4,1.0,1,1,1.0,5,5,1.0,0.2,0.272727,0.0
origin_0243,5439170922,2,2,1.0,2,2,1.0,4,4,1.0,0.5,0.444444,0.0
origin_0244,5439170941,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.363636,0.0
origin_0245,5439171314,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0246,5439171323,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0247,5439171332,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0249,5439171334,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.25,0.0
origin_0250,5439171341,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0251,5439171422,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0253,5439171424,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.25,0.0
origin_0255,5439171442,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0256,5439171443,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.25,0.0
origin_0257,5439171511,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0258,5439171814,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0259,5439172214,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0260,5439172224,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0261,5439172233,8,8,1.0,2,2,1.0,10,10,1.0,0.2,0.181818,0.0
origin_0262,5439172234,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0263,5439172242,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0264,5439172243,1,1,1.0,0,0,,1,1,1.0,0.0,0.25,
origin_0265,5439172244,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0266,5439172311,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0267,5439172312,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0268,5439172313,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0269,5439172421,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0270,5439172422,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0271,5439172441,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0272,5439172623,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.363636,0.0
origin_0273,5439172632,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0274,5439172633,2,2,1.0,0,0,,2,2,1.0,0.0,0.0,
origin_0275,5439172634,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0276,5439172642,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0277,5439172643,7,7,1.0,1,1,1.0,8,8,1.0,0.125,0.117647,0.0
origin_0278,5439172644,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0279,5439172823,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0280,5439172833,9,9,1.0,2,2,1.0,11,11,1.0,0.181818,0.148148,0.0
origin_0281,5439172834,7,7,1.0,2,2,1.0,9,9,1.0,0.222222,0.2,0.0
origin_0282,5439172843,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0283,5439172844,3,3,1.0,0,0,,3,3,1.0,0.0,0.0,
origin_0284,5439172921,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0285,5439172941,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.333333,0.0
origin_0286,5439173123,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0287,5439173124,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0288,5439173133,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
