timestamp,edge_id
2015-09-10T18:00:00,1429519095_1429519187_0
2015-09-10T18:00:00,1429519114_1429519075_0
2015-09-10T18:00:00,1429519187_1429519095_0
2015-09-10T18:00:00,1429519676_1429519075_0
2015-09-10T18:00:00,1429519676_1695391453_0
2015-09-10T18:00:00,1429519715_1429603199_0
2015-09-10T18:00:00,1429520674_1429520677_0
2015-09-10T18:00:00,1429520674_1429521745_0
2015-09-10T18:00:00,1429520677_1429520674_0
2015-09-10T18:00:00,1429520677_1429601786_0
2015-09-10T18:00:00,1429520677_3742778347_0
2015-09-10T18:00:00,1429521745_1429520674_0
2015-09-10T18:00:00,1429521745_1429522565_0
2015-09-10T18:00:00,1429521745_1429601789_0
2015-09-10T18:00:00,1429522016_6126171379_0
2015-09-10T18:00:00,1429522565_1429521745_0
2015-09-10T18:00:00,1429522565_1429601792_0
2015-09-10T18:00:00,1429522565_3742362018_0
2015-09-10T18:00:00,1429522565_6126186608_0
2015-09-10T18:00:00,1429601767_1429509819_0
2015-09-10T18:00:00,1429601768_1429510581_0
2015-09-10T18:00:00,1429601786_1429520677_0
2015-09-10T18:00:00,1429601789_1429521745_0
2015-09-10T18:00:00,1429601792_1429522565_0
2015-09-10T18:00:00,1429601792_3742778379_0
2015-09-10T18:00:00,1429601792_3742778383_0
2015-09-10T18:00:00,1429603185_11224417367_0
2015-09-10T18:00:00,1429603185_1429508216_0
2015-09-10T18:00:00,1429603188_1429510234_0
2015-09-10T18:00:00,1429603194_309907072_0
2015-09-10T18:00:00,1429603194_3737554078_0
2015-09-10T18:00:00,1429603198_1429517718_0
2015-09-10T18:00:00,1429603198_1695391443_0
2015-09-10T18:00:00,1429603198_534523169_0
2015-09-10T18:00:00,1429603199_1429519715_0
2015-09-10T18:00:00,1429603199_2087802561_0
2015-09-10T18:00:00,1429603200_1429603199_0
2015-09-10T18:00:00,1695391443_1429517145_0
2015-09-10T18:00:00,1695391443_1429603198_0
2015-09-10T18:00:00,1695391443_1695391453_0
2015-09-10T18:00:00,1695391453_1429519676_0
2015-09-10T18:00:00,1695391453_6126186607_0
2015-09-10T18:00:00,2087036236_2087802537_0
2015-09-10T18:00:00,2087565163_1695391443_0
2015-09-10T18:00:00,2087802537_1429510282_0
2015-09-10T18:00:00,2087802537_2087036236_0
2015-09-10T18:00:00,2087802551_2087565163_0
2015-09-10T18:00:00,2087802561_1429518971_0
2015-09-10T18:00:00,2087802561_1429603198_0
2015-09-10T18:00:00,2133885462_1429517125_0
2015-09-10T18:00:00,2133885462_1429517742_0
2015-09-10T18:00:00,2133885462_1429517799_0
2015-09-10T18:00:00,2604149086_4706387343_0
2015-09-10T18:00:00,2604149093_4706387343_0
2015-09-10T18:00:00,309907072_3737554078_0
2015-09-10T18:00:00,3737483762_4825104703_0
2015-09-10T18:00:00,3737554078_1429603194_0
2015-09-10T18:00:00,3737554078_309907072_0
2015-09-10T18:00:00,3737554078_519683417_0
2015-09-10T18:00:00,3737554091_3737554092_0
2015-09-10T18:00:00,3737554092_3737554091_0
2015-09-10T18:00:00,3738976131_3738976215_0
2015-09-10T18:00:00,3738976215_3738976131_0
2015-09-10T18:00:00,3740799962_8215549940_0
2015-09-10T18:00:00,3742362018_1429522565_0
2015-09-10T18:00:00,3742362018_3742778397_0
2015-09-10T18:00:00,3742778347_1429520677_0
2015-09-10T18:00:00,3742778379_1429601792_0
2015-09-10T18:00:00,3742778383_1429601792_0
2015-09-10T18:00:00,3742778397_3742362018_0
2015-09-10T18:00:00,3747917525_1429508811_0
2015-09-10T18:00:00,4623534403_1429511443_0
2015-09-10T18:00:00,4623534403_1429511893_0
2015-09-10T18:00:00,4623534403_4623534405_0
2015-09-10T18:00:00,4623534405_4623534403_0
2015-09-10T18:00:00,4706387343_4706387321_0
2015-09-10T18:00:00,4825104703_5527369700_0
2015-09-10T18:00:00,4825104703_5527369701_0
2015-09-10T18:00:00,485595682_534523169_0
